source_id,target_id,relation_type
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2605,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3310,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2605,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3319,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2608,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2611,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3308,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2611,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2611,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3312,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2611,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2614,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2620,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3308,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2620,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2624,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2626,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2626,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2626,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3318,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2627,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2630,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3308,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2630,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2630,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2630,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3315,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2634,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2634,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3308,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3312,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3314,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3317,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3318,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2637,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3319,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2641,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2643,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3307,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2643,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2643,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3319,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2646,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2646,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3311,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2646,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3319,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2647,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2647,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3312,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2649,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2650,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:3309,HAS_INJURY_HISTORY
