player_id,player_name,team_id,year,draft_team_abbr,round,round_pick,overall_pick
725,MarJon Beauchamp,17,2022,MIL,1,24,24
726,Jonathan Isaac,22,2017,ORL,1,6,6
728,Blake Wesley,27,2022,SAS,1,25,25
729,Ousmane Dieng,20,2022,NYK,1,11,11
731,Christian Braun,8,2022,DEN,1,21,21
732,TyTy Washington Jr.,15,2022,MEM,1,29,29
736,Patrick Baldwin Jr.,10,2022,GSW,1,28,28
738,Jabari Walker,25,2022,POR,2,27,57
739,Dyson Daniels,19,2022,NOP,1,8,8
741,Caleb Houstan,22,2022,ORL,2,2,32
745,Peyton Watson,21,2022,OKC,1,30,30
747,Christian Koloko,28,2022,TOR,2,3,33
748,Max Christie,14,2022,LAL,2,5,35
750,Josh Minott,4,2022,CHA,2,15,45
752,Jake LaRavia,18,2022,MIN,1,19,19
754,Tyler Dorsey,1,2017,ATL,2,11,41
756,Jason Preston,22,2021,ORL,2,3,33
757,Moussa Diabaté,13,2022,LAC,2,13,43
758,Isaiah Mobley,6,2022,CLE,2,19,49
762,Dalen Terry,5,2022,CHI,1,18,18
764,Kennedy Chandler,27,2022,SAS,2,8,38
767,Vince Williams Jr.,15,2022,MEM,2,17,47
768,Ryan Rollins,1,2022,ATL,2,14,44
771,JD Davison,2,2022,BOS,2,23,53
772,Kendall Brown,18,2022,MIN,2,18,48
774,Wendell Moore Jr.,7,2022,DAL,1,26,26
775,Tyrese Martin,10,2022,GSW,2,21,51
780,Trevor Keels,20,2022,NYK,2,12,42
785,Victor Wembanyama,27,2023,SAS,1,1,1
786,Brandon Miller,4,2023,CHA,1,2,2
787,Chet Holmgren,21,2022,OKC,1,2,2
788,GG Jackson,15,2023,MEM,2,15,45
789,Scoot Henderson,25,2023,POR,1,3,3
790,Keyonte George,29,2023,UTA,1,16,16
791,Cam Whitmore,11,2023,HOU,1,20,20
