player_id,player_name,date,description,injury_category,season
2,Bradley Beal,2021-10-22,Injury/Illness - Right Hip; Right hip contusion,Hip,2022
97,Thomas Bryant,2021-10-22,Injury/Illness - Left Knee; Injury recovery,Knee,2022
362,Dylan Windler,2021-10-22,Injury/Illness - Right Hip; Strain,Hip,2022
105,Rui Hachimura,2021-10-22,Not With Team,Other,2022
444,Anthony Gill,2021-10-22,Injury/Illness - Right Calf; Right calf strain,Calf,2022
250,Chuma Okeke,2021-10-22,Injury/Illness - Right Hip; Bone bruise,Hip,2022
375,E'Twaun Moore,2021-10-22,Injury/Illness - Left Knee; Sprained,Knee,2022
726,Jonathan Isaac,2021-10-22,Injury/Illness - Left Knee; Injury recovery,Knee,2022
123,Markelle Fultz,2021-10-22,Injury/Illness - Left Knee; Injury recovery,Knee,2022
186,Gary Harris,2021-10-22,Injury/Illness - Right Hamstring; Injury Maintenance,Hamstring,2022
429,Luka Samanic,2021-10-22,G League - Two-Way,Other,2022
368,Nerlens Noel,2021-10-22,Injury/Illness - Left Knee; sore,Knee,2022
353,Taj Gibson,2021-10-22,Personal Reasons,Other,2022
497,Cassius Winston,2021-10-22,Injury/Illness - Left Hamstring; Left hamstring strain,Hamstring,2022
216,Michael Carter-Williams,2021-10-22,Injury/Illness - Left Ankle; Injury recovery,Ankle,2022
137,Brook Lopez,2021-10-23,Injury/Illness - Back; Soreness,Back,2022
204,Josh Hart,2021-10-23,Injury/Illness - Right Quadriceps; Tendinosis,Illness/Protocol,2022
8,Zion Williamson,2021-10-23,Injury/Illness - Right Foot; Fracture,Foot,2022
175,Donte DiVincenzo,2021-10-23,Injury/Illness - Left Ankle; Injury recovery,Ankle,2022
59,Jrue Holiday,2021-10-23,Injury/Illness - Right Heel; Contusion,Illness/Protocol,2022
392,Rodney Hood,2021-10-23,Injury/Illness - Right Foot; Soreness,Foot,2022
387,Semi Ojeleye,2021-10-23,Injury/Illness - Left Calf; Strain,Calf,2022
162,Serge Ibaka,2021-10-23,Injury/Illness - Low Back; Injury Recovery,Back,2022
493,Devontae Cacok,2021-10-23,Not With Team,Other,2022
571,Zach Collins,2021-10-23,Injury/Illness - Left Ankle; Stress Fracture,Ankle,2022
