player_id,node_id,node_idx,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
11,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2795,116,0.11819978,0.033525944,0.26720965,0.0,0.0,0.24402559,0.30584508,0.14618346,0.0,0.0,0.0,0.26167133,0.20571259,0.11929214,0.27475226,0.34166545,0.2443481,0.0,0.0,0.0,0.0,0.0,0.0,0.14687505,0.0,0.35937804,0.0,0.0,0.0,0.0,0.33671582,0.0,0.17076793,0.29833806,0.16874659,0.0,0.29300737,0.0,0.0,0.28548038,0.0,0.19684319,0.30352297,0.18904504,0.0,0.0,0.17113186,0.3458262,0.0,0.26781255,0.1642043,0.0,0.16134161,0.4458794,0.2643083,0.0,0.0,0.0,0.13706775,0.28268456,0.0,0.0,0.3735543,0.0
12,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2796,117,0.082765855,0.07134185,0.20772494,0.0,0.0,0.19602647,0.31403142,0.007903546,0.0,0.0,0.0,0.22279236,0.20023607,0.11239659,0.1382706,0.28700763,0.20433675,0.0,0.0,0.0,0.0,0.0,0.0,0.1529203,0.043392837,0.23894876,0.0,0.0,0.0,0.0,0.25845453,0.0,0.16682677,0.38074446,0.17778617,0.0,0.2681844,0.0,0.0,0.1704121,0.0,0.15210901,0.27115524,0.17437842,0.0,0.0,0.19900844,0.29207802,0.0,0.22752196,0.22199318,0.0,0.20872316,0.27591783,0.22116885,0.0,0.0,0.0,0.2314963,0.2204269,0.0,0.0,0.23704873,0.0
13,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2797,118,0.07453938,0.019385338,0.25347945,0.0,0.0,0.28243288,0.38315472,0.0,0.0,0.0,0.0,0.3205067,0.21634999,0.13355307,0.24808486,0.34197754,0.3582647,0.0,0.0,0.0,0.0,0.0,0.0,0.16238604,0.0,0.31385964,0.0,0.0,0.0,0.0,0.3507073,0.0,0.18356086,0.5019102,0.23010644,0.0,0.36381537,0.0,0.0,0.26022694,0.0,0.17322263,0.3968737,0.22785276,0.0,0.0,0.22625309,0.38213003,0.0,0.3322217,0.30375567,0.0,0.2644193,0.4201438,0.3352605,0.0,0.0,0.0,0.22526386,0.23272616,0.0,0.0,0.39350027,0.0
14,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2798,119,0.01980514,0.08354851,0.23697937,0.0,0.0,0.26644337,0.42612162,0.0,0.0,0.0,0.0,0.34519023,0.2371239,0.13500331,0.17779237,0.42868817,0.4415875,0.0,0.0,0.0,0.0,0.0,0.0,0.15414232,0.0,0.33030584,0.0,0.0,0.0,0.0,0.32617542,0.0,0.10374815,0.4980438,0.2479073,0.0,0.33905986,0.0,0.0,0.253318,0.0,0.24523598,0.33993572,0.22853324,0.0,0.0,0.24858478,0.34021425,0.0,0.35316616,0.338942,0.0,0.38521343,0.44068384,0.2914729,0.0,0.0,0.0,0.28601038,0.28018576,0.0,0.06374322,0.37447795,0.0
15,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2799,120,0.13308072,0.091375396,0.2525207,0.0,0.0,0.25118256,0.30497313,0.051232353,0.0,0.0,0.0,0.2565539,0.24754037,0.19030705,0.2065354,0.26152536,0.35327023,0.0,0.0,0.0,0.0,0.0,0.0,0.117739126,0.0,0.2901921,0.0,0.0,0.0,0.0,0.31361994,0.0,0.14945383,0.3367408,0.22345881,0.0,0.31084007,0.0,0.0,0.20173529,0.0,0.18991898,0.38215593,0.25709474,0.0,0.0,0.23908308,0.28586674,0.0,0.31012234,0.3008086,0.0,0.22190706,0.35773826,0.29837635,0.0,0.0,0.0,0.19672342,0.25608146,0.0,0.03699648,0.34548753,0.0
16,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2800,122,0.01916783,0.064726844,0.18813387,0.0,0.0,0.22443104,0.30583188,0.027654618,0.0,0.0,0.0,0.1849595,0.21070156,0.07637155,0.19988042,0.3064125,0.24959758,0.0,0.0,0.0,0.0,0.0,0.0,0.17283791,0.036820307,0.27948335,0.0,0.0,0.0,0.0,0.2773934,0.0,0.16906781,0.3943578,0.22170779,0.0,0.27765483,0.0,0.0,0.18207106,0.0,0.14401096,0.3277501,0.16128275,0.0,0.0,0.16907266,0.31899244,0.0,0.22203042,0.1638974,0.0,0.23114082,0.2838974,0.15973276,0.0,0.0,0.0,0.22532326,0.18180676,0.0,0.0,0.28048998,0.0
17,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2801,123,0.06581892,0.06530376,0.3101402,0.0,0.0,0.26994967,0.48138896,0.0,0.0,0.0,0.0,0.3815251,0.25027084,0.0803866,0.26114744,0.46606544,0.48419407,0.0,0.0,0.0,0.0,0.0,0.0,0.22989064,0.0,0.37154698,0.0,0.0,0.0,0.0,0.43967795,0.0,0.15238532,0.6514449,0.28780842,0.0,0.37028527,0.0,0.0,0.29814234,0.0,0.24046782,0.39591265,0.26489976,0.0,0.0,0.19281779,0.44443408,0.0,0.37414613,0.35664546,0.0,0.366269,0.4549538,0.36971694,0.0,0.0,0.0,0.321656,0.33533868,0.0,0.0,0.45698354,0.0
18,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2802,124,0.06036056,0.031784117,0.33537966,0.0,0.0,0.33241397,0.5695702,0.0,0.0,0.0,0.0,0.49953943,0.33143413,0.13266014,0.29920888,0.564867,0.55635476,0.0,0.0,0.0,0.0,0.0,0.0,0.23531957,0.0,0.46663165,0.0,0.0,0.0,0.0,0.47181723,0.0,0.18445344,0.67627645,0.31948385,0.0,0.5043999,0.0,0.0,0.32193124,0.0,0.3632664,0.47222614,0.3920933,0.0,0.0,0.22515608,0.4873473,0.0,0.4716797,0.44467285,0.0,0.52226925,0.5319489,0.42755312,0.0,0.0,0.0,0.37422365,0.35482675,0.0,0.0,0.50206625,0.0
19,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2803,125,0.1454428,0.017894685,0.21218744,0.0,0.0,0.17908277,0.2454628,0.085714266,0.0,0.0,0.0,0.22891,0.15659648,0.16175278,0.14829357,0.16713583,0.2749037,0.0,0.0,0.0,0.0,0.0,0.013038442,0.1585156,0.01926089,0.2062873,0.0,0.0,0.0,0.0,0.25339678,0.0,0.10085687,0.23539776,0.16106385,0.0,0.21780346,0.0,0.0,0.08551216,0.0,0.16206628,0.32300547,0.18715434,0.0,0.0,0.18960382,0.18244198,0.0,0.1244829,0.25723785,0.0,0.13454433,0.1988441,0.17529267,0.0,0.0,0.0,0.19348016,0.18096426,0.0,0.026424985,0.2051712,0.0
20,4:14e49af8-fc14-4210-8dc9-d25f8a635f68:2804,126,0.05502546,0.019880988,0.25066528,0.0,0.0,0.22798313,0.27915567,0.10615937,0.0,0.0,0.0,0.31715518,0.1805869,0.15371318,0.22438155,0.2454569,0.2960216,0.0,0.0,0.0,0.0,0.0,0.0,0.11422808,0.01588644,0.30768728,0.0,0.0,0.0,0.0,0.28891945,0.0,0.25176516,0.299371,0.17483056,0.0,0.37023264,0.0,0.0,0.2208633,0.0,0.17182088,0.41225886,0.18376337,0.0,0.0,0.22793822,0.2680245,0.0,0.2842872,0.23433764,0.0,0.21113083,0.40692627,0.24764775,0.0,0.0,0.0,0.16717172,0.24126288,0.0,0.0,0.37620717,0.0
