node_id,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:163,0.30765423,0.32272008,0.4832302,0.12999271,-0.17048006,-0.07452662,-0.041142587,-0.047290284,0.16703393,0.21552218,-0.20081714,-0.17406233,0.19824192,0.050006706,0.265821,0.012287303,0.087299965,0.5087271,-0.9235964,0.5580778,-0.7666889,-0.32539245,-0.49386236,-0.57119006,0.40849036,0.015530343,-0.36528382,0.08634655,0.559785,0.24169995,0.4027898,0.04106801,-0.10225734,-0.6314267,0.0066119987,0.552504,0.31939378,-0.3872745,0.21284986,0.1992818,-0.5153109,-0.5821791,0.09579853,0.63152015,-0.16762023,0.17704898,-0.066743754,-0.11451867,-0.23217976,0.46054122,0.121149175,0.50127655,0.09412375,0.24335442,-0.68195534,-0.6747541,0.27561703,-0.006132035,-0.17934346,-0.23376715,-0.015957154,0.011267397,0.037697516,-0.31286618
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:181,-0.1990267,-0.3835015,0.18570374,-0.2605467,-0.074937366,0.051796377,0.023709131,-0.07773211,-0.9215495,0.33891842,-0.06605204,0.37463608,-0.045864623,-0.48991653,0.1490117,-0.06116871,-0.23787677,0.09157093,-0.16295843,-0.43573758,-0.6169483,-0.84333646,0.0005691026,-0.6336477,-0.18836032,-0.17046511,0.5310449,0.02458132,0.08660679,0.33142334,-0.34656075,0.18702821,0.33517504,-0.48190624,0.29916194,0.65370774,0.18251412,0.013509535,0.2868379,-0.19210492,0.15329452,-0.45608315,-0.22769716,0.26335397,0.52109003,0.5585701,0.20967458,-0.101257876,0.25544614,0.09397833,-0.25442934,-0.158255,-0.528172,0.38275367,-0.42482445,-0.7210723,-0.30669233,0.3435262,0.14989844,-0.15261436,-0.54203385,-0.5631967,-0.19528991,-0.11685634
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:325,-0.5163271,-0.21357457,0.62779385,0.23102072,-0.19593544,-0.27601045,-0.042990416,0.22409235,-0.35735506,-0.3737957,-0.3878598,0.5737986,0.43372002,-0.1624125,-0.50991625,-0.21077605,-0.4416872,0.21120782,-0.50808346,0.05414446,0.31456134,-0.75350356,-0.5706304,0.077193,0.35458148,-0.116846,0.25986114,-0.035775755,0.64586467,0.27971253,0.1466647,-0.19179086,-0.39474913,-0.5994006,0.11375698,-0.2439746,0.17801037,0.12428916,0.30492774,-0.22428979,0.3142476,0.2552513,-0.105407394,0.22495684,-0.15646116,-0.017496087,-0.0065997764,0.09932606,0.19828847,-0.5039499,-0.09392194,0.43902162,-0.34289765,-0.050095193,-0.5379725,-0.50902015,0.31571683,-0.04289338,0.17790608,0.562726,-0.09383111,-0.02398197,-0.59238946,-0.039903965
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:164,0.18076256,-0.24910638,0.7983544,0.378892,0.21693285,-0.6508178,-0.38910434,0.15326104,-0.40750057,0.05089718,-0.28246525,0.035101246,-0.059798438,-0.5972638,-0.48391116,-0.558668,-0.21060188,0.5541102,0.49738172,0.30531758,-0.09202204,-0.55109715,-0.19876933,0.2743741,-0.3492519,-0.7088027,-0.28706336,0.31837693,0.3289583,0.2970838,-0.083096854,0.33439538,-0.27942953,0.04327193,0.41774446,0.17054436,-0.016893702,-0.58046263,0.10455473,-0.33755246,-0.34031397,-0.7528988,0.3984876,0.53940636,0.11633643,0.54264677,0.034707747,0.234984,-0.08678949,0.14529088,-0.12995826,-0.053651955,-0.004812488,0.16598324,-0.46663952,-0.40245184,0.29276177,-0.11617115,-0.29192984,0.41025507,0.030752897,0.49495366,0.3527342,0.4059235
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:182,-0.059343208,-0.46949205,0.19745754,0.22283617,0.044513967,-0.2657317,-0.59800434,0.25937548,-0.5431903,0.38621253,-0.0530289,-0.26502287,-0.47253153,-0.7820382,0.40276113,-0.009721325,-0.41594264,0.70854115,0.491372,0.19129798,0.007939814,0.13007973,-0.09599375,-0.53199387,0.1994232,0.023864903,-0.06712652,-0.084420286,-0.031267665,0.48978066,-0.07868989,-0.028190175,-0.73898923,-0.80256355,0.14093207,0.083422184,0.088620774,0.7744591,0.08950465,0.372922,0.057235394,-0.70682704,0.23309247,-0.082728274,0.22059394,0.035107315,0.07594275,-0.0013207393,0.36033702,-0.38585854,0.36245668,0.12500419,0.7090283,-0.17651546,-0.6325558,-0.6355228,0.20919964,0.22510128,0.4844114,0.0926998,-0.38137323,0.12602872,0.14021719,0.33974275
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:165,-0.38257524,-0.06359369,1.2996156,-0.34882674,-0.08186661,-0.15579228,-0.16523634,-0.2710686,-0.44642717,-0.10562034,0.09820621,0.6093221,0.18988805,0.07304859,-0.35497186,-0.04923693,-0.4041594,1.0057038,0.089862406,0.5490378,-0.09769509,-0.51903844,-0.33873045,-0.2831492,0.08191472,0.25688118,-0.0827161,-0.3145645,-0.012167828,0.5551445,-0.6855129,0.14218055,0.44380856,-1.0539604,-0.3264486,-0.42344442,-0.30688676,0.2903758,0.16158676,0.2927823,0.46072012,0.016050696,0.38743046,1.0110952,-0.27843586,0.73402935,0.13253088,-0.16760041,-0.0469733,-0.63419366,0.037798207,0.80132467,-0.14201635,-0.35585386,-0.01240746,0.08863433,0.07900612,-0.40767598,-0.20711787,-0.24955021,-0.2506057,-0.10277126,0.10267613,0.32477963
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:171,0.3043669,0.1567246,-0.021440063,0.2532832,0.163929,-0.46796456,0.5308576,-0.13905035,0.09047853,0.010944768,-0.7151772,0.3490269,0.63837445,-0.65167266,0.26279092,0.23365772,-0.065969445,0.4780276,-0.08001984,-0.39308026,0.12913616,-0.7972902,-0.3073303,-0.55445474,0.48016155,-0.8063533,-0.36789367,0.45103696,0.16783126,1.0921301,-0.35144573,0.4782701,-0.032429416,-0.29338253,0.3625099,-0.13211317,-0.12407639,0.26469678,-0.6012935,-0.17327303,0.1232728,-0.22484417,0.0249311,0.6028644,0.23723209,0.02751698,-0.22282839,-0.24029325,0.3809056,-0.195819,-0.36748785,0.21825947,0.15515648,-0.39674565,-0.17414021,0.026911689,0.32003975,0.314041,0.6946315,-0.11443412,-0.07622268,0.3544189,0.076569445,-0.058668375
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:167,0.08098516,-0.6978262,0.23276538,-0.47002742,0.25821453,-0.25100383,-0.14988752,-0.2913698,-0.07340218,0.56768626,-0.3533638,-0.42028555,-0.25288495,-0.12325217,0.56403834,-0.41217464,-0.58634454,0.26537842,-0.2550156,0.021633452,0.2671231,-0.8596128,-0.07796635,-0.78699684,0.008779583,-0.15457241,0.05783378,0.36844176,0.118390895,0.73724765,0.12589292,-0.030237958,-0.28553692,-0.82371867,0.14699261,-0.49727178,-0.61593205,0.13406906,0.17321546,-0.5623077,-0.29170516,-0.010044609,-0.095429145,0.2921252,0.13323885,0.48393235,0.026500555,0.26982933,0.07231638,0.3717568,0.5697754,-0.18316513,0.24317238,0.008842047,0.29742372,-0.29363465,0.015009267,0.15417434,0.08612469,-0.12053528,0.12397489,0.382306,-0.4012122,-0.014723197
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:170,-0.031510435,0.12729317,-0.26571053,0.1456706,-0.43048346,0.27310434,-0.16933505,-0.104768634,-0.46107915,0.43851838,0.6275845,0.2349305,-0.43038192,-0.795268,-0.11680095,-0.2848416,0.1752043,0.9141652,0.48150948,0.48669797,-0.0458126,-0.41509685,-0.6821742,-0.3804321,0.4662965,-0.29298416,-0.22404256,-0.12270599,0.22463629,0.5451655,0.46189284,-0.5012713,0.290078,-0.5683961,0.27934957,0.0063598873,0.108208984,-0.30052054,-0.037601963,-0.320707,-0.18764387,-0.1342848,-0.7217428,0.37239802,-0.25969577,0.5583943,0.007723398,0.0730928,0.40392604,-0.023228504,0.18071099,0.16512473,-0.21103436,-0.115119606,-0.124556534,0.05189631,0.04150524,-0.11510462,0.1458752,-0.111460924,0.035852592,0.45926735,-0.5590741,-0.3453278
4:14e49af8-fc14-4210-8dc9-d25f8a635f68:173,0.075095624,-0.040437687,0.43576553,-0.065511726,-0.3825899,-0.28629375,0.3292571,0.15710233,-0.026276607,0.33683974,-0.5288564,0.8157129,-0.120356575,-0.4151814,0.29418057,0.08069273,0.42499715,0.5260838,0.16648911,0.30480367,-0.7165207,0.00866868,-0.33780578,-0.15537353,-0.10926014,-0.25809836,0.26279435,-0.041848097,0.57268816,0.5089801,0.32102454,0.49077326,0.09210278,-0.18145393,-0.055695564,0.036510564,-0.8006855,0.34758207,0.0125162685,-0.41280058,-0.6790789,-0.023188898,-0.59584785,0.44135746,-0.58982116,0.53768754,-0.0047995555,-0.06845752,0.09502499,-0.5748448,-0.08452285,-0.07563664,0.5388438,-0.17060868,-0.20967138,-0.34655744,0.2042068,0.39109173,0.30418614,-0.27223682,0.4414855,0.055896163,-0.7225789,0.28851512
