Player_id,Player,Award,Year
31,Anthony Davis,NBA Cup All-Tournament Team,2024
5,Giannis Antetokounmpo,NBA Cup All-Tournament Team,2024
20,Jaylen Brown,NBA Eastern Conference Finals MVP,2024
6,Luka Doncic,NBA Western Conference Finals MVP,2024
121,Tyrese Haliburton,NBA Cup All-Tournament Team,2024
25,Shai Gilgeous-Alexander,MVP,2025
546,Evan Mobley,Defensive Player of the Year,2025
887,Stephon Castle,Rookie of the Year,2025
251,Payton Pritchard,Sixth Man of the Year,2025
739,Dyson Daniels,Most Improved Player,2025
25,Shai Gilgeous-Alexander,Finals MVP,2025
5,Giannis Antetokounmpo,All-NBA 1st Team,2025
13,Nikola Jokic,All-NBA 1st Team,2025
12,Donovan Mitchell,All-NBA 1st Team,2025
11,Jayson Tatum,All-NBA 1st Team,2025
25,Shai Gilgeous-Alexander,All-NBA 1st Team,2025
17,LeBron James,All-NBA 2nd Team,2025
1,Stephen Curry,All-NBA 2nd Team,2025
132,Jalen Brunson,All-NBA 2nd Team,2025
546,Evan Mobley,All-NBA 2nd Team,2025
49,Anthony Edwards,All-NBA 2nd Team,2025
21,James Harden,All-NBA 3rd Team,2025
19,Karl-Anthony Towns,All-NBA 3rd Team,2025
121,Tyrese Haliburton,All-NBA 3rd Team,2025
542,Cade Cunningham,All-NBA 3rd Team,2025
700,Jalen Williams,All-NBA 3rd Team,2025
899,Zach Edey,All-Rookie 1st Team,2025
887,Stephon Castle,All-Rookie 1st Team,2025
893,Jaylen Wells,All-Rookie 1st Team,2025
889,Alex Sarr,All-Rookie 1st Team,2025
890,Zaccharie Risacher,All-Rookie 1st Team,2025
905,Matas Buzelis,All-Rookie 2nd Team,2025
896,Bub Carrington,All-Rookie 2nd Team,2025
900,Yves Missi,All-Rookie 2nd Team,2025
921,Donovan Clingan,All-Rookie 2nd Team,2025
898,Kel'el Ware,All-Rookie 2nd Team,2025
282,Draymond Green,All-Defensive 1st Team,2025
104,Luguentz Dort,All-Defensive 1st Team,2025
546,Evan Mobley,All-Defensive 1st Team,2025
793,Amen Thompson,All-Defensive 1st Team,2025
739,Dyson Daniels,All-Defensive 1st Team,2025
98,Rudy Gobert,All-Defensive 2nd Team,2025
211,Ivica Zubac,All-Defensive 2nd Team,2025
96,Jaren Jackson Jr.,All-Defensive 2nd Team,2025
805,Toumani Camara,All-Defensive 2nd Team,2025
700,Jalen Williams,All-Defensive 2nd Team,2025
1,Stephen Curry,All-Star MVP,2025
1,Stephen Curry,Twyman-Stokes Teammate of the Year Award,2025
3,Damian Lillard,NBA Cup All-Tournament Team,2025
5,Giannis Antetokounmpo,NBA Cup MVP,2025
5,Giannis Antetokounmpo,NBA Cup All-Tournament Team,2025
34,Pascal Siakam,NBA Eastern Conference Finals MVP,2025
132,Jalen Brunson,Clutch Player of the Year,2025
15,Trae Young,NBA Cup All-Tournament Team,2025
25,Shai Gilgeous-Alexander,NBA Western Conference Finals MVP,2025
25,Shai Gilgeous-Alexander,NBA Cup All-Tournament Team,2025
558,Alperen Sengun,,2025
