Player_id,Player,Draft_Team,Affiliation,Year,Round_NUmber,Round_pick,Overall_Pick
325,Facundo Campazzo,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
326,Max Strus,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
327,Dakota Mathias,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
328,Dean Wade,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
329,Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45
330,Drew Eubanks,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
331,DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21
332,Jordan Nwora,Milwaukee Bucks,Louisville,2020,2,15,45
333,Rodney McGruder,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
334,Juan Toscano-Anderson,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
335,Mychal Mulder,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
336,Donta Hall,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
337,Yogi Ferrell,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
338,Saben Lee,Utah Jazz,Vanderbilt,2020,2,8,38
339,Freddie Gillespie,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
340,Anthony Lamb,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
341,Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2
342,Garrison Mathews,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
343,Brad Wanamaker,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
344,Devin Vassell,San Antonio Spurs,Florida State,2020,1,11,11
345,Torrey Craig,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
346,Derrick Favors,New Jersey Nets,Georgia Tech,2010,1,3,3
347,Justin Patton,Chicago Bulls,Creighton,2017,1,16,16
348,Tyler Johnson,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
349,Rajon Rondo,Phoenix Suns,Kentucky,2006,1,21,21
350,Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
351,Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3
352,Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
353,Taj Gibson,Chicago Bulls,Southern California,2009,1,26,26
354,Tony Snell,Chicago Bulls,New Mexico,2013,1,20,20
355,Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6,6
356,Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6
357,Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10,40
358,Mason Jones,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted,Undrafted
359,Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15,15
360,D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17
361,Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
362,Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26,26
