R2,MAE,RMSE,model,setting,seed,n_test,overlap_ratio,cold_ratio,is_cold_start
-0.15492030022809078,0.6174603180849538,0.8347312038151242,RandomForest,GNN_V1 + Stats + Meta (Cold-Start),0,64,,,True
0.48767870977803696,0.6779584319124873,0.8315332745012274,Ridge,V2_Inductive + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.6561141363390692,0.5070590711287707,0.6812642386241119,RandomForest,V2_Inductive + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
-0.6376567940398583,0.7941017070655287,0.9939901634790109,Ridge,V2_Inductive + Stats + Meta (Cold-Start),0,64,,,True
0.17906444692754253,0.4915488207517934,0.7037609630291348,RandomForest,V2_Inductive + Stats + Meta (Cold-Start),0,64,,,True
0.4245394663720722,0.7000811997117002,0.8812846436625377,Ridge,V2_Transductive + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
0.6003899621847212,0.5365608009487631,0.7343897808409514,RandomForest,V2_Transductive + Stats + Meta,0,423,0.8486997635933806,0.15130023640661938,False
-0.8358656682832708,0.8495232309504617,1.0524248428056004,Ridge,V2_Transductive + Stats + Meta (Cold-Start),0,64,,,True
0.17430991631409765,0.4982093647483865,0.7057959719035495,RandomForest,V2_Transductive + Stats + Meta (Cold-Start),0,64,,,True
0.5526888519175635,0.6061665884129908,0.7769861752712839,Ridge,Baseline (Stats Only),1,423,0.8486997635933806,0.15130023640661938,False
0.644992529914394,0.5035970264614715,0.692192957487306,RandomForest,Baseline (Stats Only),1,423,0.8486997635933806,0.15130023640661938,False
0.1861366435582259,0.5070205566472326,0.700723025657377,Ridge,Baseline (Stats Only) (Cold-Start),1,64,,,True
0.4182036738913355,0.415718880266336,0.5924560356830155,RandomForest,Baseline (Stats Only) (Cold-Start),1,64,,,True
0.5517641524885133,0.6056512164059356,0.7777888690361295,Ridge,Baseline (Stats + Meta CSV),1,423,0.8486997635933806,0.15130023640661938,False
0.665700188348378,0.49364931897803466,0.6717017759158055,RandomForest,Baseline (Stats + Meta CSV),1,423,0.8486997635933806,0.15130023640661938,False
0.1890777487518408,0.5047044700370416,0.6994557580109521,Ridge,Baseline (Stats + Meta CSV) (Cold-Start),1,64,,,True
0.4630239285175738,0.40533796874497885,0.5691780030857693,RandomForest,Baseline (Stats + Meta CSV) (Cold-Start),1,64,,,True
0.5556525245924913,0.5989205636069977,0.7744079256573039,Ridge,Node2Vec + Stats,1,423,0.8486997635933806,0.15130023640661938,False
